,accord_text
 Hwyl,"['woody', 'aromatic', 'fresh spicy', 'earthy', 'amber', 'warm spicy']"
 Marrakech,
 Marrakech Intense,
 Marrakech Intense Parfum,
 Mystra,
 Rozu,
 Tacit,
 ErÃ©mia,
 Karst,
 Miraceti,
 A Moment In Manhattan,
 Absinthe-Minded,
 Ambre Destan,
 Betwixt and Between Extrait,
 Bleakley Park,
 Ismail Efendi - The Rose Bandit,
 Jardin de Topkapi,
 Jezebel,
 Kitsunegari,
 Los Vientos de Santa Ana,
 Misk'ul Hareem,
 This Ember,
 Violet Cendre,
 Assassin,
 Autumn,
 Butterfly,
 Chocolate Soldier,
 El Diablo,
 Elysium,
 Fleur De Lilac,
 Gnosis,
 Goddess,
 If,
 Jackeroo,
 Jessica,
 Jezebel,
 Kalgoorlie,
 Naiad,
 Nurture,
 Ooh La La,
 Pur Blond,
 Ripsilver,
 Rouge Pomegranate,
 Scarlet,
 Sophia,
 Sweetheart,
 The Gamekeeper,
 Ugly Bastard,
 Whoa De Cologne,
 Wild Dragons Blood,
 Anther,
 Blackwater Thistle,
 Fall,
 Glimmer,
 Hearth,
 Hollow,
 Muse,
 Neon,
 Pyrus,
 Queer,
 Ruben,
 Sanguinem Arena,
 Sepal,
 Sylphide,
 Tobacco Jam,
 Vigour,
 Aquarelle,
 Cologne for Alice,
 Evelyn's Rose,
 Fetische,
 Fetische,
 Fleur de Magnolia,
 Imogen,
 Imogen,
 Jasmin Tabac,
 Nirvana,
 Olibanum,
 Rajkumari,
 Rajkumari,
 Siberian Fir,
 Siberian Fir,
 Vanille Tonique,
 Vanille Tonique,
 Equinox,
 Poeticus,
 Pout,
 Solstice,
 Such a Boy,
 Temple Flower,
 Bay Rum Cologne,
 Bayou Cologne,
 Citron Cologne,
 Fougere Cologne,
 Four Thieves Cologne,
 Gentleman?s Chypre Cologne,
 Libertine Cologne,
 Plantation Cologne,
 China Musk,
 Citron Vanilla,
 Exotic Floral,
 Floral Amber,
 Floral Vanilla,
 Green Citrus,
 Honey Citrus,
 Jasmine Floral,
 Lemon Citrus,
 Lotus Floral,
 Resin Amber,
 Rose Floral,
 Rose Musk,
 Spiced Amber,
 Spiced Vanilla,
 True Amber,
 True Floral,
 True Musk,
 Tuberose Floral,
 White Lily Floral,
 White Musk,
