,Brand,Fragrance,Url
0,Adopt' by Reserve Naturelle, Agrumes Boisés,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Agrumes-Boises-23419.html
1,Adopt' by Reserve Naturelle, Agrumes Poudrés,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Agrumes-Poudres-34783.html
2,Adopt' by Reserve Naturelle, Ambre Fleur d'Oranger,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Ambre-Fleur-d-Oranger-23421.html
3,Adopt' by Reserve Naturelle, Ambre Jasmin,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Ambre-Jasmin-23473.html
4,Adopt' by Reserve Naturelle, Ambre Orange,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Ambre-Orange-34784.html
5,Adopt' by Reserve Naturelle, Ambre Vanille,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Ambre-Vanille-23477.html
6,Adopt' by Reserve Naturelle, Ananas Kiwi,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Ananas-Kiwi-23476.html
7,Adopt' by Reserve Naturelle, Aqua Liguria,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Aqua-Liguria-52870.html
8,Adopt' by Reserve Naturelle, Baies Roses Patchouly,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Baies-Roses-Patchouly-59941.html
9,Adopt' by Reserve Naturelle, Baies Sauvages Jasmin,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Baies-Sauvages-Jasmin-23443.html
10,Adopt' by Reserve Naturelle, Barbe à Papa,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Barbe-a-Papa-23475.html
11,Adopt' by Reserve Naturelle, Baume et Bois,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Baume-et-Bois-23498.html
12,Adopt' by Reserve Naturelle, Bergamote Jasmin,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Bergamote-Jasmin-52868.html
13,Adopt' by Reserve Naturelle, Black Cherry,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Black-Cherry-34785.html
