,parent note,child note,count
0,Aldehydes,Aldehydes,1872
1,Aldehydes,Adoxal,7
2,Aldehydes,Dodecanal,6
3,Aldehydes,Iris aldehyde,5
4,Aldehydes,Anisaldehyde,3
5,Aldehydes,Floral aldehydes,3
6,Aldehydes,Fruity aldehydes,3
7,Aldehydes,Peach aldehyde,3
8,Aldehydes,Strawberry aldehyde,3
9,Aldehydes,Octanal,2
10,Aldehydes,Cardamom aldehyde,1
11,Aldehydes,Cinnamaldehyde,1
12,Aldehydes,Coconut aldehyde,1
13,Aldehydes,Cyclamen aldehyde,1
14,Aldehydes,Lavender aldehyde,1
15,Aldehydes,Phenylacetaldehyde,1
16,Aldehydes,Profarnesal,1
17,Aldehydes,Scentenal,1
18,Amber ,Amber,25219
19,Amber ,White amber,799
20,Amber ,Amberwood,685
21,Amber ,Black amber,272
22,Amber ,Fossilised amber,130
23,Amber ,Crystal amber,119
24,Amber ,Amber Xtreme™,40
25,Amber ,Red amber,38
26,Amber ,Egyptian amber,37
27,Amber ,Lorenox™,36
28,Amber ,Cetalox®,31
29,Amber ,Indian amber,27
30,Amber ,Ambermax®,22
31,Amber ,Tunisian amber,22
32,Amber ,Vegetal amber,20
33,Amber ,Mineral amber,19
34,Amber ,Ambrocenide®,18
35,Amber ,Ambertonic®,17
36,Amber ,Himalayan amber,15
37,Amber ,Norlimbanol™,14
38,Amber ,Cedramber,13
39,Amber ,Ambramone™,12
40,Amber ,Green amber,12
41,Amber ,Baltic amber,11
42,Amber ,Karanal,9
43,Amber ,Limbanol®,8
44,Amber ,Amberketal,6
45,Amber ,Persian amber,6
46,Amber ,Amber absolute,5
47,Amber ,Timberol®,5
48,Amber ,Ambranum,4
49,Amber ,Moroccan amber,4
50,Amber ,Oriental amber,4
51,Amber ,Sclarene,4
52,Amber ,Tibetan amber,4
53,Amber ,Ambre 84 accord,3
54,Amber ,Peruan amber,3
55,Amber ,Amber Core,2
56,Amber ,Ambre 83 accord,2
57,Amber ,Arabian amber,2
58,Amber ,Dynamone,2
59,Amber ,Nepalese amber,2
60,Amber ,White amber absolute,2
61,Amber ,Aldambre™,1
62,Amber ,Amberlyn®,1
63,Amber ,Australian amber,1
64,Amber ,Blue amber,1
65,Amber ,Brazilian amber,1
66,Amber ,Cuban amber,1
67,Amber ,Egyptian white amber,1
68,Amber ,Fossilized himalayan amber,1
69,Amber ,Greek amber,1
70,Amber ,Japanese amber,1
71,Amber ,Limbwood,1
72,Amber ,Okoumal®,1
73,Amber ,Swedish fossilised amber,1
74,Amber ,Trisamber®,1
75,Amber ,Turkish amber,1
76,Amber ,Ysamber K®,1
77,Animalic notes ,Leather,6401
78,Animalic notes ,Ambergris,5321
79,Animalic notes ,Civet,1058
80,Animalic notes ,Castoreum,760
81,Animalic notes ,Ambroxan,759
82,Animalic notes ,Animalic notes,357
83,Animalic notes ,Ambrox,322
84,Animalic notes ,Hyraceum,158
