,parent note,mid note,child note,count
0,Aldehydes , Soapy notes,Soap,71
1,Aldehydes , Soapy notes,Soapy notes,21
2,Aldehydes , Soapy notes,Shampoo,4
3,Aldehydes , Soapy notes,French soap,3
4,Aldehydes , Soapy notes,Fabric softener,1
5,Animalic notes , Ambergris,Ambergris,5321
6,Animalic notes , Ambergris,Ambroxan,759
7,Animalic notes , Ambergris,Ambrox,322
8,Animalic notes , Ambergris,White ambergris,92
9,Animalic notes , Ambergris,Orcanox,68
10,Animalic notes , Ambergris,Ambreine,37
11,Animalic notes , Ambergris,Ambrofix,28
12,Animalic notes , Ambergris,Black ambergris,18
13,Animalic notes , Ambergris,Ambrarome,13
14,Animalic notes , Ambergris,Indian ambergris,13
15,Animalic notes , Ambergris,New Zealand ambergris,11
16,Animalic notes , Ambergris,Brown ambergris,8
17,Animalic notes , Ambergris,Ambergris absolute,6
18,Animalic notes , Ambergris,Cachalox,6
19,Animalic notes , Ambergris,Ambrarome absolute,5
20,Animalic notes , Ambergris,Baltic ambergris,5
21,Animalic notes , Ambergris,Grisalva,4
22,Animalic notes , Ambergris,Mozambican ambergris,4
23,Animalic notes , Ambergris,Scottish ambergris,4
24,Animalic notes , Ambergris,Irish ambergris,3
25,Animalic notes , Ambergris,American ambergris,1
26,Animalic notes , Ambergris,Arabian ambergris,1
27,Animalic notes , Ambergris,Belizean ambergris,1
28,Animalic notes , Ambergris,Irish brown ambergris,1
29,Animalic notes , Ambergris,Japanese ambergris,1
30,Animalic notes , Ambergris,Sumatran ambergris,1
31,Animalic notes , Castoreum,Castoreum,760
32,Animalic notes , Castoreum,Castoreum absolute,11
33,Animalic notes , Castoreum,Swedish castoreum,6
34,Animalic notes , Castoreum,Canadian castoreum,2
35,Animalic notes , Civet,Civet,1058
36,Animalic notes , Civet,Civet absolute,29
37,Animalic notes , Civet,Civettone,7
38,Animalic notes , Civet,Ethiopian civet,6
39,Animalic notes , Civet,Indian civet,5
40,Animalic notes , Civet,Indian civet absolute,2
41,Animalic notes , Hyraceum,Hyraceum,158
42,Animalic notes , Hyraceum,Hyraceum absolute,11
43,Animalic notes , Hyraceum,South African hyrax,3
44,Animalic notes , Leather,Leather,6402
45,Animalic notes , Leather,Suede,946
46,Animalic notes , Leather,Black leather,123
47,Animalic notes , Leather,Russian leather,103
48,Animalic notes , Leather,White leather,54
49,Animalic notes , Leather,Blond leather,32
50,Animalic notes , Leather,Tuscan leather,31
51,Animalic notes , Leather,Italian leather,20
52,Animalic notes , Leather,Morocco leather,9
53,Animalic notes , Leather,Chamois leather,7
54,Animalic notes , Leather,Red leather,7
55,Animalic notes , Leather,English leather,6
56,Animalic notes , Leather,Nappa leather,5
57,Animalic notes , Leather,Snake leather,5
58,Animalic notes , Leather,Brown leather,4
59,Animalic notes , Leather,Nubuck,3
60,Animalic notes , Leather,Deerskin,2
61,Animalic notes , Leather,Kashmiri leather,2
62,Animalic notes , Leather,Barenia leather,1
63,Animalic notes , Leather,Fallow deer leather,1
64,Animalic notes , Leather,French leather,1
65,Animalic notes , Leather,Gaucho leather,1
66,Animalic notes , Leather,Irish leather,1
67,Animalic notes , Leather,Laotian buaya,1
68,Animalic notes , Leather,Scottish leather,1
69,Animalic notes , Skin,Sensual skin accord,107
70,Aquatic notes , Algae,Algae,133
71,Aquatic notes , Algae,Seagrass,93
72,Aquatic notes , Algae,Irish moss,90
73,Aquatic notes , Algae,Algae absolute,19
74,Aquatic notes , Algae,Iodine,19
75,Aquatic notes , Algae,Red algae,14
76,Aquatic notes , Algae,Bladderwrack,6
77,Aquatic notes , Algae,Brown algae,5
78,Aquatic notes , Algae,French bladderwrack,4
79,Aquatic notes , Algae,Laminaria,4
80,Aquatic notes , Algae,Oarweed absolute,3
81,Aquatic notes , Algae,Red seagrass,3
82,Aquatic notes , Algae,Blue-green algae,2
83,Aquatic notes , Algae,Seagrass absolute,2
84,Aquatic notes , Algae,Black algae,1
85,Aquatic notes , Algae,Dulse,1
86,Aquatic notes , Algae,French brown algae,1
87,Aquatic notes , Algae,Japanese bladderwrack,1
88,Aquatic notes , Algae,Nori,1
89,Aquatic notes , Algae,Sardinian seagrass,1
90,Aquatic notes , Kelp,Kelp,279
91,Aquatic notes , Kelp,Fucus absolute,44
92,Aquatic notes , Kelp,Dried kelp,4
93,Aquatic notes , Kelp,Red kelp,4
94,Aquatic notes , Kelp,French kelp,2
95,Aquatic notes , Kelp,French fucus absolute,1
96,Aquatic notes , Marine notes,Marine notes,1945
97,Aquatic notes , Marine notes,Driftwood,409
98,Aquatic notes , Marine notes,Sea breeze,388
99,Aquatic notes , Marine notes,Sea salt,347
100,Aquatic notes , Marine notes,Kelp,279
101,Aquatic notes , Marine notes,Seawater,237
102,Aquatic notes , Marine notes,Spindrift,156
103,Aquatic notes , Marine notes,Algae,133
104,Aquatic notes , Marine notes,Seagrass,93
105,Aquatic notes , Marine notes,Sea mist,47
106,Aquatic notes , Marine notes,Suntan lotion,40
107,Aquatic notes , Marine notes,Salty air,38
108,Aquatic notes , Marine notes,Sea shell,34
109,Aquatic notes , Marine notes,Coral,20
110,Aquatic notes , Marine notes,Iodine,19
111,Aquatic notes , Marine notes,Sea minerals,11
112,Aquatic notes , Marine notes,Suntan oil,5
113,Aquatic notes , Marine notes,Arctical™,4
114,Aquatic notes , Marine notes,Oyster,3
115,Aquatic notes , Marine notes,Oysterplant,2
116,Aquatic notes , Marine notes,Starfish,2
117,Aquatic notes , Marine notes,Nautilus shell,1
118,Aquatic notes , Marine notes,North Atlantic,1
119,Aquatic notes , Marine notes,Pino Acetaldehyde,1
120,Aquatic notes , Marine notes,Sea plants,1
121,Aquatic notes , Ozone,Ozone,666
122,Aquatic notes , Ozone,Air accord,401
123,Aquatic notes , Ozone,Ozonic notes,392
124,Aquatic notes , Ozone,Helional,20
125,Aquatic notes , Ozone,Oxygen,20
126,Aquatic notes , Ozone,Floralozone,12
127,Aquatic notes , Ozone,Blue sky accord,11
128,Aquatic notes , Ozone,Calypsone®,10
129,Aquatic notes , Ozone,Liquid oxygen,3
130,Aquatic notes , Ozone,Liquazone,1
131,Aquatic notes , Ozone,Pino Acetaldehyde,1
132,Balsamic notes , Amyris,Amyris,571
133,Balsamic notes , Amyris,Haitian amyris,18
