,0
0,1116
1,1117
2,1118
3,1119
4,1120
5,1121
6,1122
7,1123
8,1124
9,1125
10,1126
11,1127
12,1128
13,1129
14,1130
15,1131
16,1132
17,1133
18,1134
19,1135
20,1136
21,1137
22,1138
23,1139
24,1140
25,1141
26,1142
27,1143
28,1144
29,1145
30,1146
31,1147
32,1148
33,1149
34,1150
35,1151
36,1152
37,1153
38,1154
39,1155
40,1156
41,1157
42,1158
43,1159
44,1160
45,1161
46,1162
47,1163
48,1164
49,1165
50,1166
51,1167
52,1168
53,1169
54,1170
55,1171
56,1172
57,1173
58,1174
59,1175
60,1176
61,1177
62,1178
63,1179
64,1180
65,1181
66,1182
67,1183
68,1184
69,1185
70,1186
71,1187
72,1188
73,1189
74,1190
75,1191
76,1192
77,1193
78,1194
79,1195
80,1196
81,1197
82,1198
83,1199
84,1200
85,1201
86,1202
87,1203
88,1204
89,1205
90,1206
91,1207
92,1208
93,1209
94,1210
95,1211
96,1212
97,1213
98,1214
99,1215
