user_id,gender,nation,brand,fragrance,user_rating
Paz,W,Chile,Dorall Collection,Ultimate Desire,9.5
Paz,W,Chile,Zara,Pipeline,7.2
Ik1730,M,Morocco,Bentley,Bentley for Men Intense,8.7
DeGe53,W,Germany,Les Néréides,Douceur de Vanille,7.0
DeGe53,W,Germany,Les Néréides,Patchouli Précieux / Patchouli Antique EAU DE TOILETTEZ,9.2
DeGe53,W,Germany,Neil Morris Fragrances,Rainflower,8.8
DeGe53,W,Germany,Bud Parfums,Satyr,7.2
DeGe53,W,Germany,Bud Parfums,Satine,7.2
DeGe53,W,Germany,Estēe Lauder,Sensuous Noir,8.2
DeGe53,W,Germany,Dzintars,Ligo,6.5
DeGe53,W,Germany,Michele Bergman,Black Amber,10.0
DeGe53,W,Germany,Bud Parfums,Jezebel,8.2
DeGe53,W,Germany,Bud Parfums,Sophia,8.3
DeGe53,W,Germany,Vera Wang,Look,5.7
DeGe53,W,Germany,Pacific Perfumes,Akaroa Rose,6.8
DeGe53,W,Germany,Bud Parfums,El Diablo,8.0
DeGe53,W,Germany,Prada,Prada EAU DE PARFUM TENDREZ,7.8
DeGe53,W,Germany,Prada,Infusion d'Iris (2007) EAU DE PARFUMZ,7.8
DeGe53,W,Germany,Prada,Infusion de Fleur d'Oranger,8.7
DeGe53,W,Germany,Prada,Candy EAU DE PARFUMZ,5.3
DeGe53,W,Germany,Rituals,No. 07 White Patchouli & Cedar Wood,7.2
DeGe53,W,Germany,Rituals,No. 06 Green Vetiver & Bergamot,7.8
DeGe53,W,Germany,DKNY / Donna Karan,Cashmere Mist EAU DE TOILETTEZ,6.2
DeGe53,W,Germany,DKNY / Donna Karan,Delicious Night,7.4
DeGe53,W,Germany,DKNY / Donna Karan,Be Delicious EAU DE PARFUMZ,7.3
Annkom,W,United Kingdom,Al Rehab,Randa PERFUME OILZ,8.0
Annkom,W,United Kingdom,Al Rehab,Classic PERFUME OILZ,8.0
Annkom,W,United Kingdom,Oud,Dehn Al,8.0
OmaroV,M,Saudi Arabia,Guess,Guess Gold,8.3
Pommalada,W,USA,Floraïku,In the Dark,7.7
Vmf,W,Netherlands,XerJoff,La Capitale,10.0
Vmf,W,Netherlands,VII: L'Heure Défendue,Les Heures de Parfum,10.0
Steve0580,M,USA,Max Factor,Spice Musk,6.7
Steve0580,M,USA,Amouage,Memoir Man,10.0
Steve0580,M,USA,Histoires de Parfums,1725,8.0
Steve0580,M,USA,The Art of Shaving,Sandalwood Essential Oil,10.0
Steve0580,M,USA,Acqua di Parma,Colonia Oud / Colonia Intensa Oud EAU DE COLOGNE CONCENTRÉEZ,5.3
Steve0580,M,USA,Clean,Clean for Men / Clean Men,1.0
Steve0580,M,USA,La Perla,Grigioperla Essence EAU DE TOILETTEZ,6.8
Steve0580,M,USA,Halston,Halston Man Amber,8.0
Steve0580,M,USA,Smell Bent,Violet Tendencies,6.0
Steve0580,M,USA,Amouage,Epic Man,10.0
Steve0580,M,USA,Montale,Black Aoud,9.3
Steve0580,M,USA,CB I Hate Perfume,#101 At The Beach 1966,5.7
Steve0580,M,USA,Nasomatto,Duro EXTRAIT DE PARFUMZ,9.7
Steve0580,M,USA,Diptyque,Tam Dao EAU DE TOILETTEZ,6.0
Steve0580,M,USA,Hugo Boss,Boss Collection - Silk Jasmine,6.7
Steve0580,M,USA,Shulton,Old Spice AFTER SHAVEZ,8.0
Steve0580,M,USA,Bijan,Bijan Nude for Men,7.2
Steve0580,M,USA,Sonoma Scent Studio,Fireside Intense,9.3
Steve0580,M,USA,Diptyque,L'Eau du Trente-Quatre,6.5
Steve0580,M,USA,Calvin Klein,Obsession for Men EAU DE TOILETTEZ,9.2
Steve0580,M,USA,Dior,Oud Ispahan,9.7
Steve0580,M,USA,Montale,Aoud Musk,9.7
Steve0580,M,USA,Montale,Dark Aoud,8.8
TaniaProfumo,W,USA,Cheramy,Sandrine PARFUM DE TOILETTEZ,10.0
ModestMourek,M,Czech Republic,Cartier,Délices de Cartier Eau Fruitée,6.7
Blgfragrance,M,Hungary,Maison Francis Kurkdjian,Grand Soir,8.8
Rebella,W,Sweden,Black Phoenix Alchemy Lab,Bien Loin D'Ici,8.0
Rebella,W,Sweden,Montale,Vanille Absolu,9.0
Rebella,W,Sweden,Kilian,A Taste of Heaven Absinthe Verte PERFUMEZ,8.0
Rebella,W,Sweden,Editions de Parfums Frédéric Malle,Carnal Flower,9.2
Rebella,W,Sweden,Caron,Tabac Blond EAU DE PARFUMZ,9.2
Rebella,W,Sweden,Profumum Roma,Dulcis in Fundo,8.8
Rebella,W,Sweden,Serge Lutens,Bornéo 1834,8.3
Rebella,W,Sweden,L'Artisan Parfumeur,Vanille Absolument / Havana Vanille,6.8
Rebella,W,Sweden,Editions de Parfums Frédéric Malle,Lipstick Rose,8.5
Rebella,W,Sweden,Cerchi Nell'Acqua,White Out,8.8
Rebella,W,Sweden,Costume National,21,8.0
Rebella,W,Sweden,Hassler,Amorvero EAU DE TOILETTEZ,7.5
Rebella,W,Sweden,Etat Libre d'Orange,Like This / Like This - Tilda Swinton,7.2
Rebella,W,Sweden,Yohji Yamamoto,Yohji (1996) (Eau de Toilette),8.0
Rebella,W,Sweden,Eau d'Italie,Sienne L'Hiver,6.8
Rebella,W,Sweden,Phaedon,Rue des Lilas,7.0
Julph,M,Thailand,Aēsop,Hwyl,7.8
Julph,M,Thailand,Creed,Aventus Cologne,7.7
Julph,M,Thailand,Maison Francis Kurkdjian,Amyris Homme EAU DE TOILETTEZ,8.3
Julph,M,Thailand,Maison Francis Kurkdjian,L'Homme À la Rose,8.7
Atttila,M,Czech Republic,Attar Collection,Khaltat Night EAU DE PARFUMZ,8.3
Atttila,M,Czech Republic,Afnan Perfumes,Modest Une,7.7
Atttila,M,Czech Republic,ScentStory,24 Elixir Gold,8.7
Atttila,M,Czech Republic,Giorgio Armani,Emporio Armani - Stronger With You Absolutely,9.0
Atttila,M,Czech Republic,Joop!,Joop! Homme EAU DE PARFUMZ,7.7
Atttila,M,Czech Republic,Al Haramain / الحرمين,Amber Oud Tobacco Edition,9.5
Atttila,M,Czech Republic,Mancera,Gold Prestigium,7.7
Atttila,M,Czech Republic,Lattafa / لطافة,Bade'e Al Oud - Oud for Glory,7.7
Atttila,M,Czech Republic,Swiss Arabian,Shaghaf Oud,9.0
Atttila,M,Czech Republic,S.T. Dupont,Perfect Tobacco,8.3
Zago,M,France,Serge Lutens,L'Innommable,9.7
Dolby,W,United Kingdom,Majda Bekkali,J'ai fait un rêve obscur / J'ai fait un rêve lui,6.0
Dolby,W,United Kingdom,Czech & Speake,No. 88 COLOGNEZ,7.0
Dolby,W,United Kingdom,Kilian,Playing with the Devil,5.7
Dolby,W,United Kingdom,Worth,Je Reviens Couture,7.2
Dolby,W,United Kingdom,Galerie Noémie,Noir d'Encre,2.7
Dolby,W,United Kingdom,Linari,Angelo Di Fiume,5.8
Dolby,W,United Kingdom,Memo Paris,Graines Vagabondes - Shams Oud / Shams,7.3
Dolby,W,United Kingdom,Memo Paris,Fleurs Bohèmes - Lalibela EAU DE PARFUMZ,5.2
Dolby,W,United Kingdom,Memo Paris,Les Echappées - Jannat (2008) (Eau de Parfum),4.5
Dolby,W,United Kingdom,Memo Paris,Fleurs Bohèmes - Granada,7.0
Dolby,W,United Kingdom,Memo Paris,Les Echappées - Manoa,6.0
Dolby,W,United Kingdom,Linari,Notte Bianca,3.8
Dolby,W,United Kingdom,Memo Paris,Les Echappées - Sundance,5.7
Dolby,W,United Kingdom,Memo Paris,Fleurs Bohèmes - Inlé EAU DE PARFUMZ,4.2
Dolby,W,United Kingdom,Memo Paris,Graines Vagabondes - Moon Fever / Moon Safari,5.3
Dolby,W,United Kingdom,Memo Paris,Les Echappées - Siwa (2007),5.2
Dolby,W,United Kingdom,Arabian Oud / العربية للعود,Kalemat,7.7
Dolby,W,United Kingdom,Lalique,Lalique Le Parfum EAU DE PARFUMZ,6.8
Dolby,W,United Kingdom,Laboratorio Olfattivo,Esvedra,6.5
Dolby,W,United Kingdom,M. Micallef,Ylang in Gold EAU DE PARFUMZ,3.5
Dolby,W,United Kingdom,Vero Profumo,Rubj EAU DE PARFUMZ,4.7
Dolby,W,United Kingdom,Jovoy,Psychédelique,7.8
Dolby,W,United Kingdom,Kilian,Sweet Redemption The End PERFUMEZ,6.0
Dolby,W,United Kingdom,Amouage,Beloved Woman,8.5
Dolby,W,United Kingdom,Miller et Bertaux,A Quiet Morning,3.0
Dolby,W,United Kingdom,Sonoma Scent Studio,Champagne de Bois,6.7
Dolby,W,United Kingdom,Kerosene,Creature,5.5
Dolby,W,United Kingdom,Libertin Louison Technique Indiscrète,Santa Subita,9.3
Dolby,W,United Kingdom,Designer Shaik,Opulent Shaik Classic No. 77,5.7
Dolby,W,United Kingdom,Montale,Black Aoud,7.2
Dolby,W,United Kingdom,Sonoma Scent Studio,Ambre Noir,6.7
Dolby,W,United Kingdom,Yves Saint Laurent,M7 (2002) (Eau de Toilette),7.2
Dolby,W,United Kingdom,Libertin Louison Technique Indiscrète,Délivre Moi,7.7
Dolby,W,United Kingdom,Cartier,Les Heures de Parfum - VIII: L'Heure Diaphane,1.2
Dolby,W,United Kingdom,Kilian,Liaisons Dangereuses Typical Me PERFUMEZ,4.0
Dolby,W,United Kingdom,Phaedon,Dzhari,6.8
Dolby,W,United Kingdom,XerJoff,Shooting Stars - Uden,4.5
Dolby,W,United Kingdom,Montana,Montana 80,7.7
Dolby,W,United Kingdom,Sonoma Scent Studio,Vintage Rose,6.7
Dolby,W,United Kingdom,Keiko Mecheri,Paname,5.0
Dolby,W,United Kingdom,Balmain,Miss Balmain EAU DE TOILETTEZ,7.7
Dolby,W,United Kingdom,Rancé 1795,Hélène (2010),2.7
Dolby,W,United Kingdom,Escentric Molecules,Molecule 01,8.3
Dolby,W,United Kingdom,Tokyomilk,Dark - Bittersweet No. 83,6.5
Dolby,W,United Kingdom,Goutal,Grand Amour EAU DE PARFUMZ,6.5
Dolby,W,United Kingdom,Tokyomilk,Eden No. 3,5.7
Dolby,W,United Kingdom,Comme des Garçons,Series 2: Red - Carnation,9.2
Dolby,W,United Kingdom,Lush / Cosmetics To Go,Breath of God PERFUMEZ,6.7
Dolby,W,United Kingdom,Parfum d'Empire,Aziyadé,8.8
Dolby,W,United Kingdom,Elizabeth Arden,Red Door EAU DE TOILETTEZ,7.7
Dolby,W,United Kingdom,Rochas,Tocade (1994) (Eau de Toilette),7.7
Dolby,W,United Kingdom,La Maison de la Vanille,Vanille Givrée des Antilles,4.8
Dolby,W,United Kingdom,Korres,Paeonia | Vanilla | Amber | Pear,6.5
Dolby,W,United Kingdom,Estēe Lauder,Youth-Dew EAU DE PARFUMZ,8.7
Dolby,W,United Kingdom,Iceberg,The Iceberg Fragrance,7.0
Dolby,W,United Kingdom,The Berkeley Square,BSQ Natural Couture Range - White Muguet,5.8
Dolby,W,United Kingdom,Diptyque,Jardin Clos,2.3
Dolby,W,United Kingdom,Nanette Lepore,Nanette Lepore,5.5
Dolby,W,United Kingdom,Christian Lacroix,Tumulte,7.3
Dolby,W,United Kingdom,Comptoir Sud Pacifique,Matin Câlin,4.8
Dolby,W,United Kingdom,Victorio & Lucchino,Carmen,7.3
Dolby,W,United Kingdom,Mugler,Innocent,5.5
Dolby,W,United Kingdom,Laura Mercier,Minuit Enchanté,8.8
Dolby,W,United Kingdom,Comme des Garçons,Comme des Garçons (1994) (Eau de Parfum),7.3
Dolby,W,United Kingdom,Joop!,Le Bain EAU DE PARFUMZ,7.3
Dolby,W,United Kingdom,Askett & English,Askett Essential,6.0
Dolby,W,United Kingdom,Olympic Orchids Artisan Perfumes,Tucson / Arizona,3.5
Dolby,W,United Kingdom,Nasomatto,Nuda EXTRAIT DE PARFUMZ,6.2
Thsong,M,USA,Jo Malone,Cypress & Grapevine,8.0
Ben0024x,M,USA,Roja Parfums,Elysium Parfum Cologne EAU DE PARFUMZ,9.3
Marcella88,M,United Kingdom,St Giles,The Tycoon,10.0
Marcella88,M,United Kingdom,St Giles,The Stylist,10.0
Marcella88,M,United Kingdom,St Giles,The Actress,10.0
Argoss,M,Poland,Lalique,Lalique pour Homme Equus EAU DE PARFUMZ,6.5
Argoss,M,Poland,Parfums Café,Homme de Café,7.5
Akunin,M,Serbia,Al Rehab,Avenue EAU DE PARFUMZ,7.2
Jayce92,M,United Kingdom,Aaron Terence Hughes,Filth XXL,9.7
Jayce92,M,United Kingdom,Aaron Terence Hughes,"Chocolate, Rose & Oud",6.7
Jayce92,M,United Kingdom,Fragrance One,Date for Men,9.0
Bode,M,Romania,Torino21,Join The Club,4.0
Efemmeral,M,Argentina,Maison Mona di Orio,Les Nombres d'Or - Violette Fumée,7.8
Efemmeral,M,Argentina,Maison Francis Kurkdjian,Cologne Pour Le Soir,7.8
Efemmeral,M,Argentina,Chanel,N°22 EAU DE TOILETTEZ,9.7
Efemmeral,M,Argentina,Parfums MDCI,Chypre Palatin,6.8
Efemmeral,M,Argentina,Etat Libre d'Orange,Jasmin et Cigarette,8.0
Efemmeral,M,Argentina,Guerlain,Shalimar EAU DE PARFUMZ,6.5
Efemmeral,M,Argentina,Robert Piguet,Futur EAU DE PARFUMZ,8.5
Efemmeral,M,Argentina,Balenciaga,Ho Hang EAU DE TOILETTEZ,3.3
