target,1rank,2rank,3rank
1540,1540,1872,2560
549,2645,104,645
2290,2290,1877,2713
2601,2601,2547,2113
1302,2730,1302,1317
1485,1485,681,737
259,259,1388,1777
1833,1833,482,1154
1912,485,1912,411
2669,2669,605,2074
824,824,2125,1499
2368,2368,885,1660
9,9,822,151
861,861,804,761
854,854,352,975
1368,1533,2442,1368
597,597,1251,280
598,598,358,961
419,1980,419,612
1970,1970,2172,512
1198,1198,2692,2208
2038,1976,2038,699
1684,1684,977,186
253,1137,253,1619
1777,1388,1777,876
2229,2229,678,1312
1826,1826,2599,2417
2249,2249,2035,2332
589,589,2603,1233
98,98,1609,295
2238,2238,218,2709
2496,2496,1782,1322
1778,1778,197,306
1340,1340,1346,2459
1901,1901,2196,2493
1341,1341,1140,1322
2680,2680,216,1910
2607,2607,1612,2480
2201,8,1578,2440
2251,1295,2251,1187
1541,1541,194,307
731,731,1721,1274
116,116,284,1955
1403,1628,21,1403
1402,1402,691,2329
480,480,194,446
467,467,2713,857
1047,1047,555,2556
1706,1706,1452,1178
1372,1372,484,2556
660,660,1929,1189
168,2181,1789,168
1709,1709,1075,87
1257,1257,2292,2457
1091,836,2699,1930
1092,1592,2548,619
1093,1093,2290,467
1090,2638,1090,1186
1089,1089,1431,752
1094,1094,79,2206
1095,1592,2548,619
1362,1362,1832,694
730,730,2600,1036
729,729,784,2690
2452,2452,1184,1929
72,1811,72,378
513,513,708,2503
511,511,2626,919
2685,2685,2105,970
512,512,1563,2172
1023,1023,495,1133
2286,2508,2286,1775
1823,1034,1823,2535
1434,1434,1783,1157
0,0,776,1729
1,8,1578,2440
3,3,2324,519
2,1750,257,638
2254,1004,2254,2101
2255,551,2255,2427
2256,757,2256,1583
1758,466,1758,189
2257,757,2256,1583
2258,2258,578,2707
617,617,2266,1448
255,255,140,1949
87,87,1116,2532
88,967,981,75
1279,1279,2729,580
2691,1008,2691,2526
776,890,776,454
1932,1932,684,328
1933,1933,1220,1804
1189,1189,912,1773
631,1219,741,1165
632,1016,632,2692
2035,2035,563,2023
905,1652,905,1860
1775,2508,2286,1775
1973,1219,741,1165
2103,2103,1407,1880
2175,2175,2593,1628
1992,163,1010,1321
2176,163,1010,1321
113,2387,113,2286
579,579,2670,2509
568,568,1878,1870
2427,2427,1208,2322
2342,2342,1360,399
725,725,1694,2594
2131,1654,507,1923
2492,504,1468,496
315,974,315,1516
2274,1042,1208,1633
657,657,1458,783
1990,1990,573,2066
832,832,559,99
1988,1988,1952,1761
1463,337,149,2182
796,796,357,1730
1579,1579,1280,2037
2604,2604,427,860
2603,1750,257,638
216,216,2680,1910
1911,1911,500,692
649,649,1642,2251
1745,2325,2448,910
1954,1954,2545,833
2658,2658,316,1870
78,164,78,63
79,79,2206,465
415,415,625,2327
1163,1163,2670,321
2525,2525,235,1619
2209,2209,506,1669
80,80,1837,264
235,235,2525,529
2592,238,1998,1289
2593,2175,2593,1628
1713,1713,2275,953
1043,576,127,1043
223,2517,1216,223
604,604,2641,129
829,829,2547,402
830,830,999,384
831,2278,831,1569
573,1990,573,2066
476,476,483,421
605,605,2074,655
1042,1042,1208,1633
207,207,1093,1311
677,677,1959,1126
1041,1041,2475,2510
2369,2369,2153,32
996,163,1010,1321
1264,1367,1391,1925
2226,2226,600,1360
2660,2660,2311,1249
2269,2269,400,1074
1635,313,1635,2524
1084,1084,301,1455
1510,163,1010,1321
158,493,158,1994
2523,2724,2523,1569
1068,1068,1891,2640
1698,1698,15,1929
1067,1067,796,1068
1157,1157,1783,986
1104,1104,1273,2170
2334,2334,18,748
1756,1756,156,109
2565,492,1321,2144
726,726,2348,297
64,64,17,657
66,29,66,962
538,538,710,732
65,65,2293,435
1373,1373,1085,1570
1083,1083,2068,2710
477,865,477,2688
2690,2690,1737,209
846,1750,257,638
1444,1444,2189,434
1610,492,1321,2144
1609,295,1609,1475
586,1044,1893,586
1059,2657,1059,1016
1503,1503,228,1496
1502,1502,1620,1469
1667,2169,1667,247
1105,2626,1105,1086
1106,1106,31,1601
441,934,441,1670
1980,1980,419,612
2029,2029,145,2619
219,258,219,650
1447,1447,2068,81
2707,2258,578,2707
1446,1028,988,1446
1506,1506,1843,2429
1507,1592,2548,619
807,807,1326,1899
2067,2067,1943,1972
1318,1318,2701,251
1175,1175,552,610
1594,1594,2289,1940
1668,800,1333,1284
2626,2626,1105,1086
1881,1881,446,621
2627,705,2627,823
2301,2301,2386,922
2338,2338,1105,2626
1741,1741,232,1791
405,405,2317,901
2467,2467,528,55
2120,2120,1315,157
2664,2664,1024,1626
1822,1822,131,166
1429,201,1429,2306
1697,1697,251,2057
2464,2464,301,554
1719,1719,262,1347
1394,738,733,1394
1729,1729,1660,2368
2415,2536,2415,2659
231,231,54,762
1126,1959,1126,1529
2312,2312,324,1572
808,740,111,808
457,163,1010,1321
858,858,1082,110
1401,1401,1617,1049
2729,2729,1279,401
2652,2652,2643,687
1969,1969,2195,2705
1149,1149,1767,2505
1487,1487,206,2261
1378,2244,1378,1508
1258,1258,436,2670
1864,1864,27,1024
1559,1559,347,1189
2026,2026,2108,739
616,2398,2647,1683
2583,2583,2608,467
1237,1237,884,2711
2510,1812,2510,316
1491,1491,2394,2367
1282,1282,2716,2000
2250,2250,190,1081
2670,2670,1258,768
942,163,1010,1321
1099,1099,2718,2298
129,129,1248,1191
128,128,1667,2169
1017,1017,2641,1968
1613,1613,2480,15
2439,2439,920,2455
332,1133,2339,332
2416,2416,1577,444
2504,2504,1706,1021
1066,1066,1898,1037
2485,2310,2485,331
691,691,1577,1402
2656,2656,2628,557
2373,2373,1234,1482
2649,2649,91,645
603,603,1596,2420
853,853,1784,1769
709,709,2104,1079
1956,1956,2126,866
1661,1661,503,569
186,888,186,2422
871,871,2255,2169
2447,2447,172,1826
140,140,1571,771
2101,1004,2254,2101
105,105,261,2500
289,289,2456,1345
1965,1493,1965,2585
919,919,511,1087
2299,239,2299,856
2219,1787,2219,2194
1739,238,1998,1289
2454,2454,816,509
2158,2158,143,2305
288,288,1970,2015
192,192,2459,709
1512,1512,612,1997
185,185,2415,2536
1314,1314,31,81
2333,2333,1393,2318
548,1943,548,653
1649,1649,512,1563
248,248,355,1400
222,222,1531,818
1809,1996,1809,213
2651,2651,2617,1620
626,626,1770,949
2572,492,1321,2144
2573,1354,2573,952
992,260,992,1090
2212,2277,2212,640
2527,2527,1436,1348
1595,1595,1242,1450
1165,1219,741,1165
418,418,974,1516
2536,2536,2415,2659
1298,1298,205,229
1299,1355,1299,109
2200,163,1010,1321
2198,163,1010,1321
2199,2199,1574,595
1972,1972,2067,548
2605,2605,1243,1490
1241,1241,2287,2045
1326,1326,2044,807
2630,2630,452,266
212,212,2494,752
1520,1520,2050,1080
1521,1521,834,336
1522,1522,2132,326
1021,1021,2504,2362
2391,2391,301,1582
2081,2081,1863,1321
279,279,2005,333
1577,2416,1577,444
1528,1528,561,2070
2046,2046,1393,986
278,238,1998,1289
54,54,762,546
2036,966,2036,1781
1245,1245,388,2554
48,48,1423,325
62,62,564,2728
2546,2546,357,1525
13,13,1486,1865
1552,1552,84,674
1553,362,1553,886
1256,1256,40,0
1712,2060,1712,2160
2610,2610,734,1417
679,1976,2038,699
2502,2502,2712,2568
2228,2228,2329,2026
2503,2503,1407,2103
2330,1044,1893,586
552,552,613,610
2616,163,1010,1321
2327,2327,527,1311
271,271,1933,1107
2328,2553,2328,1249
2329,2329,99,2228
