target,1rank,2rank,3rank,4rank,5rank
1540,1540,1872,2560,1824,1495
549,2645,104,645,549,470
2290,2290,1877,2713,2431,2608
2601,2601,2547,2113,2093,1387
1302,2730,1302,1317,2394,1491
1485,1485,681,737,16,7
259,259,1388,1777,1905,1191
1833,1833,482,1154,412,2493
1912,485,1912,411,1595,2165
2669,2669,605,2074,655,1156
824,824,2125,1499,1855,2689
2368,2368,885,1660,148,320
9,9,822,151,2610,734
861,861,804,761,2310,331
854,854,352,975,1641,1166
1368,1533,2442,1368,275,2002
597,597,1251,280,2624,2273
598,598,358,961,2087,1082
419,1980,419,612,525,1867
1970,1970,2172,512,1563,1469
1198,1198,2692,2208,2460,758
2038,1976,2038,699,679,1873
1684,1684,977,186,888,856
253,1137,253,1619,2163,447
1777,1388,1777,876,259,2372
2229,2229,678,1312,572,455
1826,1826,2599,2417,787,2067
2249,2249,2035,2332,704,2103
589,589,2603,1233,638,1750
98,98,1609,295,618,2015
2238,2238,218,2709,2043,1623
2496,2496,1782,1322,1150,2426
1778,1778,197,306,1671,151
1340,1340,1346,2459,2342,2226
1901,1901,2196,2493,90,412
1341,1341,1140,1322,1150,1192
2680,2680,216,1910,1015,1866
2607,2607,1612,2480,2255,1491
2201,8,1578,2440,345,1
2251,1295,2251,1187,1829,1762
1541,1541,194,307,614,480
731,731,1721,1274,714,2185
116,116,284,1955,1007,2585
1403,1628,21,1403,557,916
1402,1402,691,2329,1549,642
480,480,194,446,2290,621
467,467,2713,857,1877,1843
1047,1047,555,2556,1214,570
1706,1706,1452,1178,1751,397
1372,1372,484,2556,1910,2040
660,660,1929,1189,1944,1613
168,2181,1789,168,2645,1512
1709,1709,1075,87,1116,672
1257,1257,2292,2457,465,277
1091,836,2699,1930,1091,719
1092,1592,2548,619,1507,1193
1093,1093,2290,467,1311,875
1090,2638,1090,1186,281,250
1089,1089,1431,752,1135,2223
1094,1094,79,2206,1115,992
1095,1592,2548,619,1507,1193
1362,1362,1832,694,2416,1817
730,730,2600,1036,1522,803
729,729,784,2690,793,1277
2452,2452,1184,1929,15,436
72,1811,72,378,995,2303
513,513,708,2503,669,419
511,511,2626,919,1590,1781
2685,2685,2105,970,646,1217
512,512,1563,2172,1417,402
1023,1023,495,1133,280,332
2286,2508,2286,1775,886,362
1823,1034,1823,2535,122,2329
1434,1434,1783,1157,1891,2668
0,0,776,1729,97,40
1,8,1578,2440,345,1
3,3,2324,519,1040,2400
2,1750,257,638,1828,2
2254,1004,2254,2101,79,2206
2255,551,2255,2427,1963,1535
2256,757,2256,1583,491,1584
1758,466,1758,189,2687,2589
2257,757,2256,1583,491,1584
2258,2258,578,2707,1028,1948
617,617,2266,1448,42,335
255,255,140,1949,603,825
87,87,1116,2532,1709,672
88,967,981,75,130,88
1279,1279,2729,580,2124,401
2691,1008,2691,2526,999,2423
776,890,776,454,132,1303
1932,1932,684,328,823,1279
1933,1933,1220,1804,423,271
1189,1189,912,1773,347,2658
631,1219,741,1165,631,1973
632,1016,632,2692,876,2372
2035,2035,563,2023,2103,1407
905,1652,905,1860,1054,2453
1775,2508,2286,1775,886,362
1973,1219,741,1165,631,1973
2103,2103,1407,1880,146,1176
2175,2175,2593,1628,1863,802
1992,163,1010,1321,2411,2493
2176,163,1010,1321,2411,2493
113,2387,113,2286,1305,518
579,579,2670,2509,1258,768
568,568,1878,1870,944,249
2427,2427,1208,2322,188,1042
2342,2342,1360,399,1952,348
725,725,1694,2594,1172,1148
2131,1654,507,1923,2131,1991
2492,504,1468,496,2492,2315
315,974,315,1516,304,418
2274,1042,1208,1633,2274,188
657,657,1458,783,1175,10
1990,1990,573,2066,2511,1768
832,832,559,99,1855,1602
1988,1988,1952,1761,2240,1550
1463,337,149,2182,539,1638
796,796,357,1730,1688,683
1579,1579,1280,2037,2654,2259
2604,2604,427,860,588,546
2603,1750,257,638,1828,2
216,216,2680,1910,1784,529
1911,1911,500,692,1049,2111
649,649,1642,2251,1486,1295
1745,2325,2448,910,2406,1686
1954,1954,2545,833,2232,1580
2658,2658,316,1870,497,1189
78,164,78,63,1942,2049
79,79,2206,465,985,303
415,415,625,2327,2290,207
1163,1163,2670,321,716,2273
2525,2525,235,1619,556,2682
2209,2209,506,1669,1129,1622
80,80,1837,264,16,481
235,235,2525,529,1218,964
2592,238,1998,1289,1696,2592
2593,2175,2593,1628,1863,802
1713,1713,2275,953,274,1607
1043,576,127,1043,271,423
223,2517,1216,223,122,1653
604,604,2641,129,2208,2571
829,829,2547,402,2093,2513
830,830,999,384,1381,2613
831,2278,831,1569,1618,2657
573,1990,573,2066,2511,1768
476,476,483,421,2649,91
605,605,2074,655,82,2204
1042,1042,1208,1633,2274,188
207,207,1093,1311,2007,1747
677,677,1959,1126,1057,451
1041,1041,2475,2510,2006,2696
2369,2369,2153,32,789,1838
996,163,1010,1321,2411,2493
1264,1367,1391,1925,1264,2402
2226,2226,600,1360,2346,1101
2660,2660,2311,1249,2328,2553
2269,2269,400,1074,1351,919
1635,313,1635,2524,703,1301
1084,1084,301,1455,839,1892
1510,163,1010,1321,2411,2493
158,493,158,1994,2495,724
2523,2724,2523,1569,2472,1135
1068,1068,1891,2640,1139,1067
1698,1698,15,1929,392,1016
1067,1067,796,1068,1808,1139
1157,1157,1783,986,1434,715
1104,1104,1273,2170,403,1201
2334,2334,18,748,2296,1193
1756,1756,156,109,1355,2222
2565,492,1321,2144,1915,2584
726,726,2348,297,33,1212
64,64,17,657,520,799
66,29,66,962,2174,1859
538,538,710,732,748,2685
65,65,2293,435,1842,2033
1373,1373,1085,1570,780,2644
1083,1083,2068,2710,2225,2421
477,865,477,2688,1364,1865
2690,2690,1737,209,729,2722
846,1750,257,638,1828,2
1444,1444,2189,434,1780,2067
1610,492,1321,2144,1915,2584
1609,295,1609,1475,1698,2686
586,1044,1893,586,1483,2330
1059,2657,1059,1016,2113,632
1503,1503,228,1496,389,1967
1502,1502,1620,1469,1621,1406
1667,2169,1667,247,1836,128
1105,2626,1105,1086,186,888
1106,1106,31,1601,1045,2381
441,934,441,1670,837,2178
1980,1980,419,612,525,1867
2029,2029,145,2619,1316,237
219,258,219,650,899,992
1447,1447,2068,81,2372,876
2707,2258,578,2707,1028,1948
1446,1028,988,1446,1213,1948
1506,1506,1843,2429,1274,1382
1507,1592,2548,619,1507,1193
807,807,1326,1899,885,170
2067,2067,1943,1972,548,1444
1318,1318,2701,251,2057,1694
1175,1175,552,610,10,783
1594,1594,2289,1940,1966,1732
1668,800,1333,1284,1668,177
2626,2626,1105,1086,186,888
1881,1881,446,621,307,1877
2627,705,2627,823,2731,822
2301,2301,2386,922,2583,1536
2338,2338,1105,2626,1177,2157
1741,1741,232,1791,1015,716
405,405,2317,901,966,1652
2467,2467,528,55,771,1226
2120,2120,1315,157,2559,452
2664,2664,1024,1626,1547,1382
1822,1822,131,166,644,1182
1429,201,1429,2306,1576,2544
1697,1697,251,2057,771,1172
2464,2464,301,554,220,2157
1719,1719,262,1347,16,692
1394,738,733,1394,562,2091
1729,1729,1660,2368,2629,302
2415,2536,2415,2659,1920,322
231,231,54,762,2091,1003
1126,1959,1126,1529,677,2205
2312,2312,324,1572,1288,596
808,740,111,808,669,1185
457,163,1010,1321,2411,2493
858,858,1082,110,1884,358
1401,1401,1617,1049,692,2068
2729,2729,1279,401,2124,580
2652,2652,2643,687,178,2661
1969,1969,2195,2705,1015,1875
1149,1149,1767,2505,588,1187
1487,1487,206,2261,1063,844
1378,2244,1378,1508,1948,1213
1258,1258,436,2670,1698,768
1864,1864,27,1024,2452,2664
1559,1559,347,1189,1944,402
2026,2026,2108,739,161,1664
616,2398,2647,1683,616,873
2583,2583,2608,467,1958,330
1237,1237,884,2711,755,945
2510,1812,2510,316,497,2721
1491,1491,2394,2367,2404,1063
1282,1282,2716,2000,1938,2120
2250,2250,190,1081,2523,2724
2670,2670,1258,768,436,392
942,163,1010,1321,2411,2493
1099,1099,2718,2298,2695,2330
129,129,1248,1191,2460,2208
128,128,1667,2169,12,2118
