target,1rank,2rank,3rank,4rank,5rank,6rank,7rank
1540,1540,1872,2560,1824,1495,198,1306
549,2645,104,645,549,470,836,421
2290,2290,1877,2713,2431,2608,621,1382
2601,2601,2547,2113,2093,1387,2320,801
1302,2730,1302,1317,2394,1491,188,1240
1485,1485,681,737,16,7,429,900
259,259,1388,1777,1905,1191,829,876
1833,1833,482,1154,412,2493,2549,920
1912,485,1912,411,1595,2165,1818,443
2669,2669,605,2074,655,1156,441,934
824,824,2125,1499,1855,2689,1224,1408
2368,2368,885,1660,148,320,490,1729
9,9,822,151,2610,734,2166,1430
861,861,804,761,2310,331,2485,933
854,854,352,975,1641,1166,1776,2061
1368,1533,2442,1368,275,2002,913,1478
597,597,1251,280,2624,2273,829,197
598,598,358,961,2087,1082,288,110
419,1980,419,612,525,1867,1997,2009
1970,1970,2172,512,1563,1469,288,2168
1198,1198,2692,2208,2460,758,2084,15
2038,1976,2038,699,679,1873,365,1332
1684,1684,977,186,888,856,2391,1303
253,1137,253,1619,2163,447,162,2297
1777,1388,1777,876,259,2372,213,2721
2229,2229,678,1312,572,455,2672,1429
1826,1826,2599,2417,787,2067,2698,2594
2249,2249,2035,2332,704,2103,1407,1726
589,589,2603,1233,638,1750,1331,2024
98,98,1609,295,618,2015,139,1761
2238,2238,218,2709,2043,1623,856,248
2496,2496,1782,1322,1150,2426,1158,1657
1778,1778,197,306,1671,151,734,1531
1340,1340,1346,2459,2342,2226,2410,1308
1901,1901,2196,2493,90,412,2549,2093
1341,1341,1140,1322,1150,1192,2628,663
2680,2680,216,1910,1015,1866,2187,1727
2607,2607,1612,2480,2255,1491,2367,2394
2201,8,1578,2440,345,1,2201,1814
2251,1295,2251,1187,1829,1762,1276,1642
1541,1541,194,307,614,480,566,1174
731,731,1721,1274,714,2185,121,521
116,116,284,1955,1007,2585,613,1479
1403,1628,21,1403,557,916,1914,1234
1402,1402,691,2329,1549,642,860,299
480,480,194,446,2290,621,875,2700
467,467,2713,857,1877,1843,226,2608
1047,1047,555,2556,1214,570,1770,1909
1706,1706,1452,1178,1751,397,2504,1847
1372,1372,484,2556,1910,2040,555,1474
660,660,1929,1189,1944,1613,392,1554
168,2181,1789,168,2645,1512,549,104
1709,1709,1075,87,1116,672,2532,957
1257,1257,2292,2457,465,277,37,1803
1091,836,2699,1930,1091,719,880,849
1092,1592,2548,619,1507,1193,1692,1092
1093,1093,2290,467,1311,875,207,1747
