target,1rank,2rank,3rank,4rank,5rank,6rank,7rank,8rank,9rank
1540,1540,1872,2560,1824,1495,198,1306,822,1271
549,2645,104,645,549,470,836,421,775,612
2290,2290,1877,2713,2431,2608,621,1382,467,446
2601,2601,2547,2113,2093,1387,2320,801,2059,850
1302,2730,1302,1317,2394,1491,188,1240,2404,2367
1485,1485,681,737,16,7,429,900,1630,1222
259,259,1388,1777,1905,1191,829,876,2372,310
1833,1833,482,1154,412,2493,2549,920,2687,1975
1912,485,1912,411,1595,2165,1818,443,1565,66
2669,2669,605,2074,655,1156,441,934,1796,2178
824,824,2125,1499,1855,2689,1224,1408,2507,498
2368,2368,885,1660,148,320,490,1729,1204,1897
9,9,822,151,2610,734,2166,1430,1212,445
861,861,804,761,2310,331,2485,933,1362,1107
854,854,352,975,1641,1166,1776,2061,1606,2732
1368,1533,2442,1368,275,2002,913,1478,998,1637
597,597,1251,280,2624,2273,829,197,2513,1147
598,598,358,961,2087,1082,288,110,595,1768
419,1980,419,612,525,1867,1997,2009,1551,288
1970,1970,2172,512,1563,1469,288,2168,1247,2590
1198,1198,2692,2208,2460,758,2084,15,1122,2414
2038,1976,2038,699,679,1873,365,1332,1963,1848
1684,1684,977,186,888,856,2391,1303,2161,2621
253,1137,253,1619,2163,447,162,2297,797,2459
1777,1388,1777,876,259,2372,213,2721,174,2365
2229,2229,678,1312,572,455,2672,1429,2723,1203
1826,1826,2599,2417,787,2067,2698,2594,2447,1111
2249,2249,2035,2332,704,2103,1407,1726,217,305
589,589,2603,1233,638,1750,1331,2024,1365,53
98,98,1609,295,618,2015,139,1761,112,1390
2238,2238,218,2709,2043,1623,856,248,1449,2021
2496,2496,1782,1322,1150,2426,1158,1657,696,2216
1778,1778,197,306,1671,151,734,1531,1768,330
1340,1340,1346,2459,2342,2226,2410,1308,1050,944
1901,1901,2196,2493,90,412,2549,2093,2547,1582
1341,1341,1140,1322,1150,1192,2628,663,682,1657
2680,2680,216,1910,1015,1866,2187,1727,261,221
2607,2607,1612,2480,2255,1491,2367,2394,132,551
2201,8,1578,2440,345,1,2201,1814,149,1744
2251,1295,2251,1187,1829,1762,1276,1642,319,868
1541,1541,194,307,614,480,566,1174,2570,521
731,731,1721,1274,714,2185,121,521,878,374
116,116,284,1955,1007,2585,613,1479,2135,608
1403,1628,21,1403,557,916,1914,1234,1040,1482
1402,1402,691,2329,1549,642,860,299,193,838
480,480,194,446,2290,621,875,2700,2265,1215
467,467,2713,857,1877,1843,226,2608,2583,621
1047,1047,555,2556,1214,570,1770,1909,949,2576
1706,1706,1452,1178,1751,397,2504,1847,2197,1776
1372,1372,484,2556,1910,2040,555,1474,403,1947
660,660,1929,1189,1944,1613,392,1554,1716,1399
168,2181,1789,168,2645,1512,549,104,645,1818
1709,1709,1075,87,1116,672,2532,957,891,944
1257,1257,2292,2457,465,277,37,1803,2349,1400
1091,836,2699,1930,1091,719,880,849,312,2089
1092,1592,2548,619,1507,1193,1692,1092,2597,2296
1093,1093,2290,467,1311,875,207,1747,210,603
1090,2638,1090,1186,281,250,947,1115,659,1464
1089,1089,1431,752,1135,2223,867,1275,1087,744
1094,1094,79,2206,1115,992,2466,260,2693,303
1095,1592,2548,619,1507,1193,1692,1092,2597,2296
1362,1362,1832,694,2416,1817,227,1577,165,2703
730,730,2600,1036,1522,803,984,2263,1142,404
729,729,784,2690,793,1277,1987,796,1647,2383
2452,2452,1184,1929,15,436,1864,2619,1554,2414
72,1811,72,378,995,2303,2408,1675,2017,211
513,513,708,2503,669,419,370,1980,149,1638
511,511,2626,919,1590,1781,1105,980,1539,6
2685,2685,2105,970,646,1217,1518,1986,2156,1366
512,512,1563,2172,1417,402,2089,2564,2471,1649
1023,1023,495,1133,280,332,2339,1784,1448,676
2286,2508,2286,1775,886,362,1252,1900,727,499
1823,1034,1823,2535,122,2329,1468,2492,2517,1216
1434,1434,1783,1157,1891,2668,2308,893,1053,1834
0,0,776,1729,97,40,1256,890,1660,1850
1,8,1578,2440,345,1,2201,1814,149,1744
3,3,2324,519,1040,2400,2049,1332,63,164
2,1750,257,638,1828,2,47,1233,583,846
2254,1004,2254,2101,79,2206,2466,1215,1458,927
2255,551,2255,2427,1963,1535,1848,1879,637,58
2256,757,2256,1583,491,1584,2257,1874,2481,846
