target,1rank
1540,1540
549,2645
2290,2290
2601,2601
1302,2730
1485,1485
259,259
1833,1833
1912,485
2669,2669
824,824
2368,2368
9,9
861,861
854,854
1368,1533
597,597
598,598
419,1980
1970,1970
1198,1198
2038,1976
1684,1684
253,1137
1777,1388
2229,2229
1826,1826
2249,2249
589,589
98,98
2238,2238
2496,2496
1778,1778
1340,1340
1901,1901
1341,1341
2680,2680
2607,2607
2201,8
2251,1295
1541,1541
731,731
116,116
1403,1628
1402,1402
480,480
467,467
1047,1047
1706,1706
1372,1372
660,660
168,2181
1709,1709
1257,1257
1091,836
1092,1592
1093,1093
1090,2638
1089,1089
1094,1094
1095,1592
1362,1362
730,730
729,729
2452,2452
72,1811
513,513
511,511
2685,2685
512,512
1023,1023
2286,2508
1823,1034
1434,1434
0,0
1,8
3,3
2,1750
2254,1004
2255,551
2256,757
1758,466
2257,757
2258,2258
617,617
255,255
87,87
88,967
1279,1279
2691,1008
776,890
1932,1932
1933,1933
1189,1189
631,1219
632,1016
2035,2035
905,1652
1775,2508
1973,1219
2103,2103
2175,2175
1992,163
2176,163
113,2387
579,579
568,568
2427,2427
2342,2342
725,725
2131,1654
2492,504
315,974
2274,1042
657,657
1990,1990
832,832
1988,1988
1463,337
796,796
1579,1579
2604,2604
2603,1750
216,216
1911,1911
649,649
1745,2325
1954,1954
2658,2658
78,164
79,79
415,415
1163,1163
2525,2525
2209,2209
80,80
235,235
2592,238
2593,2175
1713,1713
1043,576
223,2517
604,604
829,829
830,830
831,2278
573,1990
476,476
605,605
1042,1042
207,207
677,677
1041,1041
2369,2369
996,163
1264,1367
2226,2226
2660,2660
2269,2269
1635,313
1084,1084
1510,163
158,493
2523,2724
1068,1068
1698,1698
1067,1067
1157,1157
1104,1104
2334,2334
1756,1756
2565,492
726,726
64,64
66,29
538,538
65,65
1373,1373
1083,1083
477,865
2690,2690
846,1750
1444,1444
1610,492
1609,295
586,1044
1059,2657
1503,1503
1502,1502
1667,2169
1105,2626
1106,1106
441,934
1980,1980
2029,2029
219,258
1447,1447
2707,2258
1446,1028
1506,1506
1507,1592
807,807
2067,2067
1318,1318
1175,1175
1594,1594
1668,800
2626,2626
1881,1881
2627,705
2301,2301
2338,2338
1741,1741
405,405
2467,2467
2120,2120
2664,2664
1822,1822
1429,201
1697,1697
2464,2464
1719,1719
1394,738
1729,1729
2415,2536
231,231
1126,1959
2312,2312
808,740
457,163
858,858
1401,1401
